last name,first name,group,country,tw_handle,SocialInfluence,PoliticalInfluence,Green Deal Influence Total
PAULUS,Jutta,Group of the Greens/European Free Alliance,Germany,@JuttaPaulusRLP,86.99,37.4,62
WEISS,Pernille,Group of the European People's Party (Christian Democrats),Denmark,@WeissPernille,83.72,40.58,62
AGUILERA,Clara,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Spain,@ClaraAguilera7,63.52,60.48,62
TOUSSAINT,Marie,Group of the Greens/European Free Alliance,France,@marietouss1,98.17,23.34,61
BOMPARD,Manuel,Group of the European United Left - Nordic Green Left,France,@mbompard,97.66,23.34,61
WALLACE,Mick,Group of the European United Left - Nordic Green Left,Ireland,@wallacemick,90.11,30.77,60
de LANGE,Esther,Group of the European People's Party (Christian Democrats),Netherlands,@Esther_de_Lange,73.54,46.68,60
GIEGOLD,Sven,Group of the Greens/European Free Alliance,Germany,@sven_giegold,97.67,22.55,60
METZ,Tilly,Group of the Greens/European Free Alliance,Luxembourg,@MetzTilly,58.46,60.74,60
AUBRY,Manon,Group of the European United Left - Nordic Green Left,France,@ManonAubryFr,100,19.1,60
HAUTALA,Heidi,Group of the Greens/European Free Alliance,Finland,@HeidiHautala,87,31.83,59
HOJSÍK,Martin,Renew Europe Group,Slovakia,@mhojsik,72.18,45.89,59
BLOSS,Michael,Group of the Greens/European Free Alliance,Germany,@michabl,96.66,20.42,59
BURKHARDT,Delara,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Germany,@delarabur,74.33,42.71,59
KELLY,Seán,Group of the European People's Party (Christian Democrats),Ireland,@SeanKellyMEP,85.13,31.83,58
DE CASTRO,Paolo,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Italy,@paolodecastro,77.3,39.52,58
RIQUET,Dominique,Renew Europe Group,France,@DominiqueRiquet,68.35,48.01,58
McGUINNESS,Mairead,Group of the European People's Party (Christian Democrats),Ireland,@MaireadMcGMEP,78.05,38.2,58
